"Area (standard Freshservice only)","Endpoint family","Documented operations","Project commands","Coverage","Missing operations / review note","Priority","Decision (Add/Skip)"
"Alerts","Alerts","Properties; view; filter; logs; acknowledge; resolve; suppress; unsuppress; delete","","Missing","Entire alert-management family","P2","Skip - no alert-management workload"
"Alerts","Alert notes","Create; list; view; update; delete","","Missing","Entire alert-note family","P2","Skip - no alert-note workload"
"Assets","/assets","Create; view; list; search; filter; update; delete; restore; permanently delete; move","Get/New/Set/Remove/Restore-FreshServiceAsset","Partial","Add permanent delete and move","P1","Add - focused asset read, ordinary update, and soft delete; skip create, restore, permanent delete, and move"
"Assets","Asset assignment history","View assignment history","","Missing","","P2","Add - asset assignment-history read, subject to tenant entitlement"
"Assets","Asset components","List; create; update","Get-FreshServiceAsset -components","Partial","Read only; add create and update","P2","Skip - no asset-component workload"
"Assets","Associated requests; contracts; relationships","List requests; list contracts; create/view/list/delete relationships","Get-FreshServiceAsset -requests/-contracts/-relationships; Get/New/Remove-FreshServiceRelationship; Get-FreshServiceRelationshipType","Partial","Add bulk relationship operations and verify account versus asset scope","P2","Skip - no asset relationship, contract, or associated-request workload"
"Asset types","Asset types","Create; view; list; update; delete; list fields","Get/New/Set/Remove-FreshServiceAssetType","Partial","Add or verify dedicated field retrieval","P2","Add - focused asset-type read; skip writes and field subresource"
"Products","Products","Create; view; list; update; delete","Get/New/Set/Remove-FreshServiceProduct","Implemented","","","Skip - no product workload"
"Vendors","Vendors","Create; view; list; update; delete","Get/New/Set/Remove-FreshServiceVendor","Implemented","","","Skip - no vendor workload"
"Purchase orders","Purchase orders","Create; list; move; view; update; delete","Get/New/Set/Remove-FreshServicePurchaseOrder","Partial","Add move","P2","Skip - no purchase-order workload"
"Software","Software","Create; update; view; list; list licenses; delete; bulk delete","Get/New/Set/Remove-FreshServiceSoftware","Partial","Add license list and bulk delete","P2","Skip - no software workload"
"Software","Software users","Bulk add; view; move; list; bulk update; bulk remove","Get/New/Set/Remove-FreshServiceSoftwareUser","Partial","Add move; validate current bulk payloads","P2","Skip - no software-user workload"
"Software","Software installations","Add; list; bulk remove","Get/New/Remove-FreshServiceSoftwareInstallation","Implemented","","","Skip - no software-installation workload"
"Software","Software relationships","List relationships","","Missing","","P3","Skip - no software-relationship workload"
"Contracts","Contracts and contract types","List types and fields; view/list; move; create; update; submit; approve; reject; list assets; list attachments","Get-FreshServiceContract; Get-FreshServiceContractType; New/Set-FreshServiceContract","Partial","Add move; reject; associated-assets list; attachments list","P2","Skip - no contract workload"
"ITAM","Physical subtypes","Create/update; list; view; delete","","Missing","Entire endpoint family","P3","Skip - CMDB extension families are out of scope"
"ITAM","Devices","Create; list; view; update; custom fields; delete","","Missing","Entire endpoint family","P3","Skip - CMDB extension families are out of scope"
"ITAM","Cloud resources; relationships; cloud details; lifecycle events","CRUD and custom-field operations","","Missing","Entire endpoint families","P3","Skip - CMDB extension families are out of scope"
"Projects","Legacy projects and tasks","Legacy project and task CRUD","","Missing","Existing commands target NewGen /pm/projects; add only if legacy support is needed","P3","Skip - no legacy-project workload"
"Projects","NewGen projects","Create; update; view; list; delete; archive; restore; fields; templates; members; associations; delete attachment","Get/New/Set/Remove/Restore-FreshServiceProject","Partial","Add templates; member management; associations; attachment deletion","P2","Skip - no project workload"
"Projects","NewGen project tasks","CRUD; filter; type fields; types; priorities; statuses; versions; sprints; memberships; associations; notes; delete attachments","Get/New/Set/Remove-FreshServiceProjectTask","Partial","Get covers several lookups/filter; add associations; notes; attachment deletion","P2","Skip - no project-task workload"
"Solutions","Solution categories","Create; update; view; list; delete; restore; permanently delete","Get/New/Set/Remove-FreshServiceSolutionCategory","Partial","Add restore and permanent delete","P2","Skip - no solution-category workload"
"Solutions","Solution folders","Create; create with approval; update; view; subfolders; list; delete; restore; permanently delete","Get/New/Set/Remove-FreshServiceSolutionFolder","Partial","Add approval create; subfolders; restore; permanent delete","P2","Skip - no solution-folder workload"
"Solutions","Solution articles","Create; secondary language; attachment; external URL; search; submit approval; publish; update; view; list; delete; restore; permanent delete; bulk restore","Get/New/Set/Remove-FreshServiceSolutionArticle","Partial","Add specialist and lifecycle operations","P2","Conditional - add search/read only for a committed knowledge-suggestion feature"
"Service catalog","Service catalog items","View; list; search; create; create with agent-group visibility; create with shared fields; update; delete","Get-FreshServiceCatalogItem","Partial","Read only; add create; update; delete; search; visibility and shared fields","P1","Conditional - add read/search only for a committed service-catalog request form"
"Service catalog","Service catalog categories","List","Get-FreshServiceCatalogCategory","Implemented","","","Conditional - add category read only for a committed service-catalog request form"
"Service catalog","Shared fields","List/search; create; update; delete; retrieve data; archive; unarchive","","Missing","Entire shared-field family","P2","Skip - no shared-field administration workload"
"Canned responses","Canned response folders and responses","List folders; show folder; list responses in folder; list responses; show response","Get-FreshServiceCannedResponseFolder; Get-FreshServiceCannedResponse","Implemented","","","Conditional - add reads only for a committed PSU note-template feature"
"Employee workflows","Employee onboarding","View form fields; create; view; list; view onboarding tickets","New-FreshServiceOnboardingRequest; Get-FreshServiceOnboardingRequest -fields/-tickets","Implemented","","","Skip - employee lifecycle is out of scope"
"Employee workflows","Employee offboarding","View form fields; create; view; list; view offboarding tickets","","Missing","Entire endpoint family","P2","Skip - employee lifecycle is out of scope"
"Employee workflows","Journeys","Published configs; initiator fields; create; view; filter; list; update; cancel; delete; activities","","Missing","Entire endpoint family","P2","Skip - journeys are out of scope"
"On-call management","Schedules; shifts; overrides; calendars; exports; who is on-call; escalation policies","Create; update; view/list/filter; delete; event calendar/export; escalation-policy CRUD/reorder","","Missing","Entire endpoint family","P2","Skip - no on-call workload"
"Post-incident reports","Templates","Create; get; list; enable; set primary; export; delete","","Missing","Entire endpoint family","P3","Skip - no post-incident-report workload"
"Collaboration","Major-incident email and Zoom","Trigger/retrieve email; trigger/retrieve Zoom meetings","","Missing","Entire endpoint family","P3","Skip - no major-incident collaboration workload"
"Status page","Status page","Incidents; incident updates; maintenance; maintenance updates; statuses; services/components; subscribers","","Missing","Entire endpoint family","P3","Skip - no status-page workload"
"Delegation","Delegation","Create; update; view; delete","","Missing","Entire endpoint family","P3","Skip - no delegation workload"
"Attachments","Generic and contract/purchase-order attachments","Download attachment; download purchase-order and contract attachment","","Missing","Separate download endpoints are not exposed","P3","Skip - attachments are out of scope"
